nm_id;заказы_июн_авг;выручка_июн_авг_₽;показов_за_неделю;маржа_%;проходит_KPI
257945302;4;59348;0;33.0;да
944934660;5;58806;9;48.6;да
264244021;1;44497;1;24.8;
261155116;1;42010;4;;
500316642;2;26515;0;;
265276026;1;23155;0;23.5;
400980140;2;21277;3;;
192567956;3;18810;3;44.6;да
850429272;1;18106;3;22.9;
770383455;1;14922;6;47.5;да
199332643;2;14708;9;44.8;да
192567652;2;14550;4;50.3;да
209664104;1;14419;5;53.4;да
264243373;1;14101;0;;
1003731369;2;14029;0;;
261068156;1;13858;7;17.5;
199566118;4;13416;3;35.1;да
192568590;4;13230;9;44.8;да
216360325;1;13171;7;32.0;да
192628490;3;12624;6;46.8;да
199571931;2;12431;6;25.1;да
209665679;1;12273;1;26.4;да
192567114;1;11423;6;21.9;
549995361;1;11403;7;28.8;да
200166906;4;11349;3;20.1;
676702962;1;10960;0;52.6;да
216356152;1;10579;2;34.6;да
199335537;4;10416;2;39.1;да
199334171;2;10256;6;31.8;да
199333247;2;10094;0;19.0;
199566476;8;10071;7;31.1;да
262192104;5;9170;6;55.0;да
209731248;2;9089;2;35.0;да
209664075;2;9061;0;38.8;да
192568493;1;8735;1;25.6;да
850428329;1;8720;3;31.5;да
216453801;2;8540;2;36.1;да
199335424;4;8176;4;40.7;да
216352805;2;8058;4;;
209733985;1;7894;0;;
200166885;3;7841;5;36.4;да
253018687;2;7587;0;41.0;да
964955295;1;7491;0;29.9;да
199335396;1;7270;9;34.5;да
192567953;1;7064;3;38.3;да
209755396;1;7006;9;33.6;да
192569031;2;6902;0;;
192228203;3;6835;5;37.8;да
199332649;1;6734;5;31.0;да
181104934;1;6675;0;49.1;да
493592815;1;6656;0;33.2;да
199333303;1;6626;0;32.2;да
1003232943;1;6593;0;;
199570713;2;6533;2;22.2;
200167253;2;6529;9;;
192567526;1;6347;9;35.6;да
1003627246;1;6314;8;24.8;
181115802;1;6227;0;27.1;да
209713624;1;6189;1;26.2;да
437221762;1;6161;0;49.2;да
439974378;4;6159;1;38.9;да
199572520;1;6128;3;28.9;да
199565729;3;6096;4;17.4;
192567749;2;6063;6;50.7;да
209655487;2;5916;7;34.2;да
192228643;3;5908;2;26.0;да
199570361;4;5883;5;33.9;да
208143076;2;5859;6;28.2;да
551168251;1;5827;2;40.1;да
181105129;1;5777;2;37.8;да
181116627;2;5709;9;51.4;да
216354472;1;5592;3;24.5;
199569449;2;5579;8;18.8;
209663325;1;5554;8;51.2;да
200163750;3;5550;3;40.9;да
199565866;3;5548;6;30.7;да
1208295657;1;5522;0;29.9;да
192569078;1;5466;0;17.6;
