код;внешний код;что сделано
0028ct;0028;архив+обнуление (нуль на всех складах)
0135pl;0135;архив+обнуление (нуль на всех складах)
1665sp;1665;не найдена — вечерний живой обход
1665sp;1665;не найдена — вечерний живой обход
1718nv;1718;архив+обнуление (нуль на всех складах)
2163nv;2163;архив+обнуление (нуль на всех складах)
2163sp;2163;не найдена — вечерний живой обход
2163sp;2163;не найдена — вечерний живой обход
2163sp;2163;не найдена — вечерний живой обход
2163sp;2163;не найдена — вечерний живой обход
2193nv;2193;архив+обнуление (нуль на всех складах)
2193sp;2193;не найдена — вечерний живой обход
2193sp;2193;не найдена — вечерний живой обход
2194nv;2194;архив+обнуление (нуль на всех складах)
32627q;3262;архив+обнуление (остаток только виртуальный: Удаленный склад 311)
3262bt;3262;не найдена — вечерний живой обход
3262cs;3262;архив+обнуление (остаток только виртуальный: Удаленный склад 500)
3571gp;3571;архив+обнуление (остаток только виртуальный: Удаленный склад 84)
3726msk;3726;не найдена — вечерний живой обход
3726spb;3726;не найдена — вечерний живой обход
3943bs;3943;не найдена — вечерний живой обход
3943gp;3943;не найдена — вечерний живой обход
39457q;3945;архив+обнуление (остаток только виртуальный: Удаленный склад 100)
3958gp;3958;не найдена — вечерний живой обход
41697q;4169;не найдена — вечерний живой обход
4169at;4169;архив+обнуление (нуль на всех складах)
4169ct;4169;архив+обнуление (остаток только виртуальный: Удаленный склад 100)
4169oem;4169;архив+обнуление (остаток только виртуальный: Удаленный склад 9)
4169sf;4169;не найдена — вечерний живой обход
4169sf;4169;не найдена — вечерний живой обход
4169sk;4169;архив+обнуление (остаток только виртуальный: Удаленный склад 100)
4169wb;4169;архив+обнуление (остаток только виртуальный: Удаленный склад 274)
4333bt;4333;архив+обнуление (нуль на всех складах)
4333bt;4333;не найдена — вечерний живой обход
4749ep;4749;архив+обнуление (нуль на всех складах)
4749sf;4749;архив+обнуление (нуль на всех складах)
4749wb;4749;архив+обнуление (нуль на всех складах)
48327q;4832;архив+обнуление (остаток только виртуальный: Удаленный склад 100)
4832ep;4832;архив+обнуление (остаток только виртуальный: Удаленный склад 85)
4832hb;4832;архив+обнуление (остаток только виртуальный: Удаленный склад 190)
4832sf;4832;архив+обнуление (нуль на всех складах)
4832wb;4832;архив+обнуление (нуль на всех складах)
52247q;5224;архив+обнуление (нуль на всех складах)
5403sp;5403;не найдена — вечерний живой обход
5403sp;5403;не найдена — вечерний живой обход
54057q;5405;архив+обнуление (нуль на всех складах)
5520sf;5520;архив+обнуление (остаток только виртуальный: Удаленный склад 47)
5521ep;5521;архив+обнуление (остаток только виртуальный: Удаленный склад 100)
5521sf;5521;архив+обнуление (нуль на всех складах)
5521t2;5521;архив+обнуление (остаток только виртуальный: Удаленный склад 100)
5527ep;5527;архив+обнуление (нуль на всех складах)
5527t2;5527;архив+обнуление (нуль на всех складах)
5530sf;5530;архив+обнуление (нуль на всех складах)
5577bt;5577;архив+обнуление (нуль на всех складах)
5577bt;5577;архив+обнуление (нуль на всех складах)
5577bt;5577;архив+обнуление (нуль на всех складах)
5638sk;5638;архив+обнуление (нуль на всех складах)
5639sk;5639;архив+обнуление (нуль на всех складах)
5640sk;5640;архив+обнуление (нуль на всех складах)
5730sg;5730;архив+обнуление (остаток только виртуальный: Удаленный склад 131)
6543t2;6543;архив+обнуление (нуль на всех складах)
6544t2;6544;архив+обнуление (остаток только виртуальный: Удаленный склад 3)
6545t2;6545;архив+обнуление (нуль на всех складах)
6546t2;6546;архив+обнуление (нуль на всех складах)
6874wb;6874;архив+обнуление (нуль на всех складах)
